Model,CV_F1,Test_Acc,Test_F1,AUC,Val_V,Val_W,BOTH
LDA,0.908,0.9545,0.9545,1.0,✗,✓,✗✗
BernoulliNB,0.7924,0.8182,0.8182,0.8058,✓,✗,✗✗
SVC_RBF,0.9703,0.9091,0.9083,1.0,✓,✓,✓✓
DecisionTree,0.9703,0.9545,0.9545,0.9545,✓,✓,✓✓
GradientBoosting,0.9703,0.9545,0.9545,1.0,✓,✓,✓✓
AdaBoost,0.9703,0.9545,0.9545,1.0,✓,✓,✓✓
KNN,0.9701,0.9091,0.9091,0.9835,✓,✓,✓✓
RidgeClassifier,0.9538,1.0,1.0,0.0,✓,✓,✓✓
LogisticRegression,0.9393,0.9545,0.9545,1.0,✓,✓,✓✓
LogisticRegression_L1,0.9393,1.0,1.0,1.0,✓,✓,✓✓
LinearSVC,0.9393,0.9545,0.9545,0.0,✓,✓,✓✓
PassiveAggressive,0.9393,0.9545,0.9545,0.0,✓,✓,✓✓
SVC_Linear,0.9393,0.9545,0.9545,1.0,✓,✓,✓✓
Perceptron,0.9228,0.9091,0.9083,0.0,✓,✓,✓✓
SGDClassifier,0.9076,0.9091,0.9083,0.9091,✓,✓,✓✓
MLP,0.9068,0.9091,0.9091,0.9587,✓,✓,✓✓
RandomForest,0.8679,0.9545,0.9545,1.0,✓,✓,✓✓
ExtraTrees,0.8679,0.9545,0.9545,1.0,✓,✓,✓✓
